Fax Modem Speed,Number Of Cartridges Included,Battery Type,Tray Capacity,Printer Resolution (Color),ISO Mono Print Speed,Phone Included,Number Of Speed Dials,Supported Paper Sizes,Mobile Device Printing,Compatible Cartridges,Provider_Product_ID,Black Printer Resolution,Maximum Fax Page Memory,EPEAT Qualified,Printer Type,Double-Sided Printing,Batteries Included,pricematch,Copier Resolution (Color),Print Quality,Print (Color) Speed,Type of Interface,Automatic Document Feeder Capacity,Copier Resolution,Media Sizes,Paper Compatibility,Touch Screen,Print (Black/Monochromatic) Speed,Integrated Fax,ENERGY STAR Certified,Copier Speed (B&W),Media Types,Maximum Photo Length,Display Screen Size,Transparency Scanning,Minimum System Requirements,Input Paper Capacity,Duty Cycle,Automatic Document Feeder,Integrated Answering System,Paper Handling,Compact Design,Print Speed (B&W),Multiple Copies,Maximum Document Width,Color Category,Number Of Cartridges Required,Automatic Redial,Maximum Document Length,EPEAT Level,Copier Resolution (Black),Duplex Scan Function,Dye-Sublimation Printer,Networking,Scan (Monochromatic) Speed,Scan (Color) Speed,Print Head Type,Interface(s),Printer Resolution (Black),Fax Machine Type,Maximum Number Of Copies,Scanner Type,Automatic Reduction/Enlargement,Ink Subscription Service Available,Maximum Photo Width,Scan Method,Copy Speed,Scanner Resolution (dpi),DND Omega Publish,Included Software,Networking Capabilities,Photo Printer,Internet Fax Capability,Scanner Resolution,Wireless Networking,Two-Sided Printer,Connector Type(s),Portable,Paper Feeder,Printer Connectivity,Drop Size,Print Speed (Color),Internal Memory,Copy (Color) Speed,PictBridge Enabled,Integrated Caller ID,Memory,Maximum Paper Capacity,Copy (Black/Monochromatic) Speed,ISO Color Print Speed,TWAIN Compliant,Memory Card Slot,Display Screen,Memory Card Type,Monochromatic/Color
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"USB,",N/A,N/A,"3"" x 5"", 4"" x 6"", 5"" x 8"", 8.50"" x 13"", Custom Size, Envelope No. 10, Envelope No. 9, Executive, Legal, Letter, Monarch Envelope, Postcard, Statement",N/A,N/A,N/A,N/A,Yes,N/A,"Bond Paper, Card Stock, Color Paper, Envelope, Glossy Paper, Heavy Media, Label, Letterhead, Light Paper, Plain Paper, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency",N/A,N/A,N/A,N/A,Up to 500 sheets,N/A,N/A,N/A,N/A,N/A,Up to 35 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,35 ppm,N/A,N/A,N/A,N/A,512MB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,2,N/A,N/A,Up to 1200 x 1200,36 pages per minute,N/A,N/A,"8.5"" x 14""",No,N/A,N/A,N/A,N/A,No,Printer,N/A,N/A,yes,N/A,N/A,36 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,36 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,None,N/A,"Up to 80,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,White,2,N/A,14 inches,N/A,N/A,N/A,N/A,Wired,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,36 pages per minute,N/A,N/A,Yes,N/A,Color
33.6 kilobits per second,4,N/A,250,Up to 600 x 600,21 pages per minute,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 300 x 420,N/A,21 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,21 pages per minute,Yes,No,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (SP2 or later), Server 2003 (SP1 or later), Server 2008, Server 2008 R2 (64-bit), Server 2012 (64-bit), 7 (SP1 or later), Vista or 8, 200MB disk space, Mac: OS X 10.6 Leopard, 10.7 Lion, 10.8 Mountain Lion or 10.9 Mavericks",N/A,"Up to 40,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 300 x 420,N/A,N/A,Wired/Wireless,17 copies per minute,13 copies per minute,N/A,N/A,N/A,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 300 x 300,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,21 copies per minute,N/A,N/A,N/A,N/A,21 copies per minute,21 pages per minute,N/A,N/A,Yes,N/A,Color
N/A,4,N/A,600,Up to 1200 x 1200,33 pages per minute,N/A,N/A,"Tray 1: A4, RA4, A5, B5 (JIS), B6 (JIS), A6, 3.9"" x 5.9"", envelopes (B5, C5 ISO, C6, DL ISO), 3"" x 5"" to 8.5"" x 14""; Tray 2: A4, A5, B5 (JIS), A6, 3.9"" x 5.9"", 4"" x 5.8"" to 8.5"" x 11.7""",Yes,N/A,N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,32 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,33 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows 2003 (SP1 or later), 2008 (32- or 64-bit), 2008 R2 (64-bit), XP (SP2 or later), Vista or 7, 200MB available hard disk space, Mac: OS X v10.5 or v10.6; 150MB available hard disk space",N/A,"Up to 75,000",N/A,N/A,Up to 600 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,N/A,N/A,N/A,Wired,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,33 pages per minute,N/A,No,No,N/A,Color
N/A,4,N/A,300,Up to 600 x 600,21 pages per minute,N/A,N/A,"A4, A5, A6, B5 (JIS), 4"" x 6"", JIS single and JIS double postcards, ISO DL, ISO C5 and ISO B5 envelopes; Custom tray 1: 3"" x 5"" to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,20 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,21 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP (32-bit, SP2): 233MHz Intel Pentium processor; Windows Vista (32- or 64-bit) or 7 (32- or 64-bit): 1.0GHz 32-bit (x86) or 64-bit (x64) processor; Mac: PowerPC G4, G5, or Intel Core processor",N/A,"Up to 40,000",N/A,N/A,Up to 300 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,21 pages per minute,N/A,N/A,No,N/A,Color
33.6 kilobits per second,4,N/A,250,Up to 2400 x 600,23 pages per minute,N/A,N/A,"Letter, legal, executive, A4, A5, B",No,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,23 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,23 pages per minute,N/A,Yes,N/A,N/A,N/A,3.7 inches,N/A,PC or Mac,N/A,"Up to 30,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,White,4,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,23 copies per minute,N/A,N/A,N/A,N/A,23 copies per minute,23 pages per minute,N/A,N/A,Yes,N/A,Color
N/A,2,N/A,100,Up to 4800 x 1200,8.8 pages per minute,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",Yes,"HP 61, HP 61XL",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 1200 x 600,N/A,5.2 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,8.8 pages per minute,N/A,No,N/A,N/A,N/A,2.7 inches,N/A,"PC: Windows XP SP3 or higher (32-bit): Intel&#174;, Pentium&#174;, II, Celeron&#174; or other 233MHz compatible processor; 750MB hard disk space; Internet Explorer 6; Windows Vista: 800MHz 32-bit (x86) or 64-bit (x64) processor",N/A,"Up to 1,000",N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wireless,21 copies per minute,17 copies per minute,N/A,N/A,Up to 1200 x 600,N/A,50,Flatbed,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0|Apple AirPrint|Other,N/A,N/A,Yes,17 copies per minute,N/A,N/A,N/A,N/A,6 copies per minute,5.2 pages per minute,N/A,Yes,Yes,N/A,N/A
N/A,N/A,N/A,N/A,Up to 2400,N/A,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",No,N/A,N/A,N/A,N/A,No,All In One,N/A,N/A,N/A,N/A,N/A,4 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,17 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP 32-bit (SP2 or later), Vista (32- or 64-bit), 7 (32- or 64-bit) or 8 (32- or 64-bit); 200MB hard disk space; 512MB RAM; CD-ROM/DVD drive or Internet; Mac: PowerPC G4 or G5 or Intel Core processor; OS X v10.6; 500MB hard disk space",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"USB,",N/A,N/A,"3"" x 5"", 4"" x 6"", 5"" x 7"", A4 - 8.27"" x 11.69"", Envelope No. 10, Envelope No. 9, Executive - 7.24"" x 10.51"", Folio - 8.50"" x 13"", Legal - 8.50"" x 14.02"", Letter - 8.50"" x 10.98"", Monarch Envelope, Statement - 7.24"" x 10.51""",N/A,N/A,N/A,N/A,N/A,N/A,"Bond Paper, Card Stock, Color Paper, Envelope, Letterhead, Light Paper, Plain Paper, Postcard, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency, pack",N/A,N/A,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,N/A,N/A,Up to 45 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,512MB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,19 pages per minute,N/A,N/A,"3"" x 5"" - 8.5"" x 14""",Yes,"CLT-K504S, CLT-C504S, CLT-M504S, CLT-Y504S",N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,19 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,19 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows 2000 (32- or 64-bit), XP (32- or 64-bit), 2003 (32- or 64-bit), 2008 Server (32- or 64-bit), Vista, (32- or 64-bit), 7 (32- or 64-bit) or 8 (32- or 64-bit); Mac: OS X 10.3 - 10.9; Linux; USB 2.0 port",N/A,"Up to 40,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,White,N/A,N/A,14 inches,N/A,N/A,N/A,N/A,Wireless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Apple AirPrint|Google Cloud Print|NFC|Wi-Fi Direct|Samsung Mobile Print,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,19 pages per minute,N/A,N/A,Yes,N/A,Color
