Coldproof,Integrated GPS,Maximum Aperture,3D Capture,Instant Print,Minimum Flash Range - Wide,Batteries,Remote Compatible,Memory Card Included,Panorama Mode,pricematch,Total Megapixels,Software Included,Touchscreen,Image Storage Capacity,External Flash Mount,Number Of Batteries Required,Shockproof,Scene Modes,File Formats,Output(s),Image Sensor Type,Autofocus,Image Stabilization,Number Of Images Per Charge,Image Storage Type,NFC Enabled,White Balance,Touch Screen,Wi-Fi Ready,HD Movie Mode,Imaging Sensor Vertical Size,Digital Magnification,Focus Range,Image Resolution,Camera Dock,Image Stitching,DND Omega Publish,Maximum Expandable ISO,Face Detection,Imaging Sensor Size,Minimum Flash Range - Telephoto,Long Zoom,Imaging Sensor Type,ISO Settings,Tripod/Monopod Socket Size,Minimum Aperture,Cold Resistant,Shock Resistant,Varying Angle LCD,Maximum Operating Temperature,Flash Range,Number Of Memory Card Slots,Lens Features,Maximum Flash Range - Wide,Digital Zoom,Digital Camera Type,Minimum ISO,Integrated Flash,Color Category,Interface,LCD Screen Size,Maximum Flash Range - Telephoto,Additional Accessories Included,Lens Focal Length(s),Tripod Mount,Frame Rate,Internal Memory,Video Outputs,Waterproof,Brightness Control,Megapixels (Effective),Frames Per Second,Camera Full Frame Sensor,WiFi enabled,Filter Diameter,Low Light/High Sensitivity,Viewfinder Magnification,AC Adapter Compatible,Exposure Control,Tripod/Monopod Mountable,Self Timer,Wi-Fi Built-in,Memory Card Compatibility,Burst Mode,Shutter Speeds,AC Adapter,AC Adapter Included,Audio,Compatible Memory Formats,LCD Screen Features,Smile Mode,Viewfinder,HD Movie Mode Focus,Records Audio,Maximum ISO,Integrated Projector,Internal Memory Included,Computer Connectivity,Lens Mount Compatibility,ISO Equivalent,Megapixels (Total),Low-Light/High Sensitivity,Maximum Focal Length,Imaging Sensor Horizontal Size,Removable Memory Included,Minimum Focal Length,Aperture Range,Display Type,Lens,Max ISO,White Balance Modes,Camera Body Style,Water Resistant,Effective Megapixels,Batteries Included,Vista Compatible,Text Overlay,Movie Mode,Shooting Modes,Screen Resolution,PictBridge Enabled,Optical Zoom,Self-Timer,Lens Focal Length 35mm Film Equivalent,Flash Modes,Minimum Operating Temperature,Screen Size,Varying Angle Screen,Time Lapse,Orientation Sensor,In-Lens Image Stabilization,Image File Format(s),High Definition,Movie Recording Mode,Maximum Height of Shock Resistance
N/A,No,N/A,No,No,0 feet,N/A,Yes,No,No,N/A,24.78 megapixels,Nikon View NX 2,N/A,N/A,Hot Shoe,1,N/A,"Autumn colors, beach/snow, blossom and more",N/A,HDMI|USB,CMOS,No,None,820,N/A,No,N/A,Yes,N/A,Yes,15.6 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,0 feet,No,N/A,"100 - 25,600",N/A,N/A,No,No,N/A,N/A,N/A,1,N/A,39 feet,None,DSLR Camera Body Only,100,Yes,Red,N/A,N/A,39 feet,"Rechargeable lithium-ion battery (EN-EL14a), quick charger (MH-24), rubber eyecup (DK-25), USB cable (UC-E23), A/V cable (EG-CP16), camera strap (AN-DC3), body cap (BF-1B), Nikon View NX 2 CD-ROM",N/A,N/A,5 frames per second,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,Yes,0.82 times,Yes,N/A,Yes,Yes,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,1/4000 - 30 sec.,N/A,No,N/A,N/A,N/A,No,Optical,Auto Focus,Yes,25600,No,No,Android|Apple iOS|Windows|Mac,Nikon F,N/A,N/A,N/A,N/A,23.5 millimeters,N/A,N/A,N/A,LCD touch screen,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"P, S, A, M, auto, auto (no flash), scene, effects, movie","1,037,000 dots",Yes,None,N/A,N/A,Auto|Red-eye reduction|Slow sync|Fill-in|Off,N/A,3.2 inches,Yes,N/A,No,N/A,RAW|JPEG,Yes,Yes,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,No,Yes,yes,24.7 megapixels,N/A,N/A,N/A,Other,1,N/A,N/A,N/A,HDMI,CMOS,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,23.9 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"100 - 25,600",N/A,N/A,No,No,N/A,N/A,N/A,2,N/A,N/A,4x,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,10 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,No,Memory Stick|Secure Digital,Yes,Still images: 1/8000 - 30 sec.; Bulb movies: 1/8000 - 1/4 sec. (in 1/3 steps); Auto mode: up to 1/60 sec.; Auto slow shutter mode: up to 1/30 sec.,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,N/A,Yes,12801,No,N/A,Windows,Sony A-Mount,N/A,N/A,N/A,N/A,35.8 millimeters,N/A,N/A,N/A,LCD,N/A,N/A,15-step auto micro adjustment,N/A,No,24.3 megapixels,Yes,N/A,N/A,N/A,None,N/A,No,None,N/A,N/A,Red-eye reduction|Auto|Off|Slow sync,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|AVCHD|RAW|Other,Yes,Yes,N/A
N/A,Adaptable,5.6 f/,N/A,No,N/A,N/A,N/A,No,No,yes,24.7 megapixels,View NX2,N/A,N/A,Other,1,N/A,N/A,N/A,PAL|NTSC,CMOS,Yes,Optical,N/A,N/A,No,N/A,No,N/A,Yes,15.4 millimeters,N/A,Normal,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",6.4 millimeters,3.5 f/,Yes,Yes,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52 millimeters,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Secure Digital High Capacity (SDHC)|Secure Digital|Secure Digital Extended Capacity (SDXC),Yes,1/4000 - 30 sec.,N/A,Yes,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12800,No,N/A,Mac,Bayonet,N/A,N/A,N/A,55 millimeters,23.2 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, incandescent, fluorescent (7 types), flash, direct sunlight, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"Auto, auto (flash off), portrait, landscape, child, sports, close up and night portrait",N/A,Yes,3x,N/A,18 - 55mm,Auto|Off|Red-eye reduction|Slow sync,N/A,3 inches,N/A,N/A,Yes,N/A,JPEG|RAW|Other,Yes,Yes,0 feet
N/A,Adaptable,N/A,N/A,No,N/A,N/A,N/A,No,No,yes,24.7 megapixels,ViewNX2 CD-ROM,N/A,N/A,Other,1,N/A,N/A,N/A,HDMI,CMOS,Yes,None,N/A,N/A,No,N/A,No,N/A,Yes,15.6 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"100 - 6400 (expandable to 12,800 and 25,600)",6.4 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,Yes,Adaptable,Secure Digital Extended Capacity (SDXC)|Secure Digital|Secure Digital High Capacity (SDHC),Yes,"1/8000 to 30s in steps of 1/3 or 1/2 EV, bulb, time, X250",N/A,No,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12801,No,N/A,N/A,Bayonet,N/A,N/A,N/A,N/A,23.5 millimeters,N/A,N/A,N/A,Other,N/A,N/A,"Auto (2 types), incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade and more",N/A,No,24.1 megapixels,Yes,N/A,N/A,N/A,"Photography Live View mode, Movie Live View mode",N/A,Yes,None,N/A,N/A,Auto,N/A,3.2 inches,N/A,N/A,N/A,N/A,JPEG|MPEG-4|Other|RAW,Yes,N/A,N/A
No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,Nikon ViewNX2,No,Varies,Yes,N/A,No,N/A,"JPEG; JPEG with Fine (approx. 1:4), Normal (approx. 1:8), or Basic (approx. 1:16) compression; NEF (RAW) + JPEG (image recorded in both NEF (RAW) and JPEG formats); TIFF (RGB)",N/A,N/A,N/A,"Yes, included lens is image stabilized",N/A,Secure Digital (SD)/Secure Digital High Capacity (SDHC)/Secure Digital Expanded Capacity (SDXC),N/A,"Auto (2 types), Choose color temperature (2500K&#8211;10000K), Cloudy, Direct Sunlight, Flash, Fluorescent (7 types), Incandescent, Preset manual (up to 4 values can be stored), Shade",N/A,Yes,No,N/A,N/A,N/A,Up to 4928 x 3280,N/A,N/A,N/A,N/A,Yes,36mm x 23.9mm,N/A,N/A,CMOS,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,"7 elements in 6 groups, 7 diaphragm blades, Silent Wave Motor, Super Integrated Coating, compatible with FX and DX formats",N/A,N/A,N/A,N/A,N/A,Black,High-speed USB,"3.2""",N/A,N/A,50mm,Yes,N/A,N/A,Type C mini HDMI,No,N/A,16.2,5 - 6,N/A,N/A,N/A,N/A,N/A,N/A,Programmed auto with flexible program (P); shutter-priority auto (S); aperture-priority auto (A); manual (M),N/A,N/A,N/A,N/A,Yes,"1/4000 sec. to 4 sec in steps of 1 EV(1/4000&#8211;30 sec. in steps of 1/3 EV with main command dial), bulb, time, X200",Optional,N/A,N/A,"Secure Digital (SD) Card, Secure Digital Extended Capacity (SDXC), Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card, Secure Digital Extended Capacity (SDXC), Secure Digital High Capacity (SDHC) Card","TFT-LCD with 921K pixels, 170&#176; wide-viewing angle and 5 brightness levels",N/A,Eye-level SLR pentaprism single-lens reflex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100-12800|expandable to Lo-1 (ISO 50), Hi-1 (25600), Hi-2 (51200), Hi-3 (102400), Hi-4 (ISO 204800)",16.6,Yes,N/A,N/A,N/A,N/A,f/1.6&#8211;16 (with included lens),N/A,AF-S NIKKOR 50mm f/1.8G Special Edition Lens,12801 and higher,N/A,Digital SLR,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,"2, 5, 10, or 20 sec.|1-9 exposures at intervals of 0.5, 1, 2, or 3 sec.",N/A,"Front curtain sync, slow sync, rear-curtain sync, red-eye reduction, red-eye reduction with slow sync, slow rear-curtain sync, Auto FP High-Speed Sync supported",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,No,3.5 f/,No,No,0 feet,N/A,Yes,No,No,N/A,24.78 megapixels,Nikon View NX 2,N/A,N/A,Hot Shoe,1,N/A,"Autumn colors, beach/snow, blossom and more",N/A,HDMI|USB,CMOS,Yes,Optical,820,N/A,No,N/A,Yes,N/A,Yes,15.6 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,0 feet,No,N/A,"100 - 25,600",N/A,36 f/,No,No,N/A,N/A,N/A,1,N/A,39 feet,None,DSLR Camera with Lens,100,Yes,Red,N/A,N/A,39 feet,"Rechargeable lithium-ion battery (EN-EL14a), quick charger (MH-24), rubber eyecup (DK-25), USB cable (UC-E23), A/V cable (EG-CP16), camera strap (AN-DC3), body cap (BF-1B), Nikon View NX 2 CD-ROM, snap-on front lens cap (LC-52), rear lens cap (LF-4)",N/A,N/A,5 frames per second,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,52 millimeters,Yes,0.82 times,Yes,N/A,Yes,Yes,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,1/4000 - 30 sec.,N/A,No,N/A,N/A,N/A,No,Optical,Auto Focus,Yes,25600,No,No,Android|Apple iOS|Windows|Mac,Nikon F,N/A,N/A,N/A,55 millimeters,23.5 millimeters,N/A,18 millimeters,N/A,LCD touch screen,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"P, S, A, M, auto, auto (no flash), scene, effects, movie","1,037,000 dots",Yes,3x,N/A,18-55mm,Auto|Red-eye reduction|Slow sync|Fill-in|Off,N/A,3.2 inches,Yes,N/A,No,Yes,RAW|JPEG,Yes,Yes,N/A
N/A,No,5.6 f/,N/A,Yes,N/A,N/A,N/A,No,No,yes,18.5 megapixels,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,Yes,N/A,Yes,14.9 millimeters,N/A,N/A,5184 x 3456,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",N/A,3.5 f/,No,No,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,No,Secure Digital High Capacity (SDHC)|Secure Digital|Secure Digital Extended Capacity (SDXC),Yes,30 - 1/4000 sec.,N/A,N/A,N/A,N/A,N/A,N/A,Optical,N/A,N/A,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,135 millimeters,22.3 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, preset (daylight, shade, cloudy, tungsten light, white fluorescent light, flash) and more",N/A,No,18 megapixels,Yes,N/A,N/A,N/A,"Scene Intelligent Auto, creative auto, landscape, close-up, sports, special scene modes (night portrait, HDR backlight control), and more",N/A,Yes,7.5x,N/A,18 - 135mm,Red-eye reduction,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG,Yes,Yes,N/A
N/A,No,5.6 f/,N/A,No,N/A,N/A,N/A,N/A,No,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"100 - 6400, expandable to 12800",N/A,3.5 f/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.5x,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,1/60 - 1/8000 sec.,N/A,N/A,N/A,N/A,N/A,No,N/A,Manual Focus,N/A,12800,No,N/A,N/A,Canon EF-S,N/A,N/A,N/A,135 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,No,N/A
N/A,Adaptable,5.6 f/,N/A,No,N/A,N/A,N/A,No,No,yes,24.7 megapixels,View NX2,N/A,N/A,Other,1,N/A,N/A,N/A,PAL|NTSC,CMOS,Yes,Optical,N/A,N/A,No,N/A,No,N/A,Yes,15.4 millimeters,N/A,Normal,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",6.4 millimeters,3.5 f/,Yes,Yes,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Red,N/A,N/A,N/A,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52 millimeters,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Secure Digital High Capacity (SDHC)|Secure Digital|Secure Digital Extended Capacity (SDXC),Yes,1/4000 - 30 sec.,N/A,Yes,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12800,No,N/A,N/A,Bayonet,N/A,N/A,N/A,55 millimeters,23.2 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, incandescent, fluorescent (7 types), flash, direct sunlight, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"Auto, auto (flash off), portrait, landscape, child, sports, close up and night portrait",N/A,Yes,3x,N/A,18 - 55mm,Slow sync|Auto|Off|Red-eye reduction,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|Other|RAW,Yes,Yes,N/A
