EPEAT Qualified,Touchscreen,ENERGY STAR Certified,Number Of eSATA Ports,2-in-1 Design,Processor Brand,Media Card Reader,Number Of Auxiliary Outputs,Additional Audio/Video Connectors,"Number Of External 3.5"" Bays",EPEAT Level,Speakers,Video Memory,Type of Memory (RAM),Integrated Microphone,Battery Life,Video Memory Type,System Memory RAM Speed,Operating System,"Number Of Internal 5.25"" Bays",Game Ports,Networking,Screen Size,System Memory (RAM),Bluetooth-Enabled,Number Of PCI-E x16 Slots,Battery Type,Operating System Architecture,NFC Enabled,Voice Recognition,Number Of Memory Slots,Built-in Webcam,Hard Drive Capacity,Graphics,Embedded Mobile Broadband,Optical Drive,Number Of PCI-E x1 Slots,Number Of Ethernet Ports,Bluetooth Enabled,HDMI Output,Ethernet,Wireless Display,Touch Screen,Number Of HDMI Outputs,Digital Media Reader or Slots,Port Type(s),Best Buy PC App,Number Of PCI Slots,Computer Hard Drive Size,Number Of DVI Ports,LTE,Gaming Series,Audio Technology,Green Compliance,"Number Of External 5.25"" Bays",Number Of PCI-E x2 Slots,Color Category,Screen Size (Measured Diagonally),Direct-Disc Labeling,Cache Memory,Number Of PCI-E x4 Slots,Processor,Wireless Networking,Graphics Card,PCMCIA Slots,Built-In Webcam,Ultrabook,Optical Drive Type,Blu-Ray Player,Drive Capacity,Number Of AGP Slots,pricematch,S-Video Outputs,Pointing Device,"Number Of Internal 3.5"" Bays",System Memory (RAM) Expandable To,Numeric Keypad,IEEE 1394 FireWire Ports,System Memory RAM Expandable To,TV Tuner,USB 2.0 Ports,Laptop Weight,Backlit Keyboard,Number Of PCI-E x8 Slots,Operating System Bit Version,Parallel Ports,Touchpad Type,Hard Drive Type,Display Type,Optical Drive Speeds,Memory Slots Total,Wireless Capability,Operating System Platform,Included Software,Blu-ray Player,Processor Speed,Convertible,2-in-1,Audio,Additional Accessories Included,Number Of USB Port(s),Carrier Compatibility,Number Of DisplayPort Outputs,Battery Capacity,Number Of VGA Ports,Processor Model,MPEG,Provider_Product_ID,Speaker Type,Hard Drive RPM,3D-Capable,Screen Resolution,Modem,Number Of IEEE 1394 Ports,Graphics Chip
Yes,No,No,No,No,NVIDIA,Yes,No,No,No,Silver,No,No,DDR3L SDRAM,No,No,No,No,Chrome OS,No,No,No,14 inches,2 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,16 gigabytes,No,None,No,No,0,Yes,No,None,No,No,1,No,HDMI|USB,No,No,No,No,No,No,No,No,No,No,Multi,No,No,No,No,No,Wireless-AC,NVIDIA Kepler,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,Other,LED-LCD,No,No,No,No,No,No,No,No,No,No,No,3,No,No,No,No,NVIDIA Tegra,No,No,Internal,No,No,1366 x 768 (HD),No,0,NVIDIA
No,No,Yes,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,No,No,No,Windows 8,No,No,No,14 inches,6 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Mbps Fast Ethernet LAN,No,Yes,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel Haswell 5000 Series,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Wide 16:9 touchpad with finger touch support,SATA,Touchscreen LED,No,No,No,No,Power4Gear Hybrid and more,No,1.6 gigahertz,No,No,No,No,3,No,0,No,0,Intel 4th Generation Core i5,No,No,No,5400 revolutions per minute,No,No,No,No,Intel
No,No,No,No,Yes,Intel,Yes,No,No,No,No,No,No,DDR3,No,8 hours,No,1666 megahertz,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Other,No,No,Yes,No,No,1000 gigabytes,No,No,No,No,1,Yes,No,10/100/1000 Mbps Fast Ethernet LAN (RJ-45 connector),Yes,Yes,1,No,HDMI|Ethernet|USB 3.0,No,No,No,No,No,No,No,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-AC,Intel,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,12 gigabytes,No,No,No,Yes,No,No,No,Clickpad with smart gesture support,No,Touchscreen LED,No,No,No,No,Nuance Dragon Assistant; Kindle and more,No,2.7 gigahertz,No,No,No,No,3,No,No,No,No,Intel 5th Generation Core i5,No,No,Built-in stereo,5400 revolutions per minute,No,No,No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,6000 megabytes,DDR3,No,4 hours,No,No,Windows 8.1,No,No,No,15.6 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1256 gigabytes,No,No,No,No,No,Yes,No,No,No,No,1,No,USB 2.0,No,No,No,No,No,No,HD Audio,No,No,No,Multi,No,No,No,No,No,No,NVIDIA GeForce GTX 970M,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Integrated,SATA + Solid State Drive,LED,No,No,No,No,No,No,2.5 gigahertz,No,No,No,No,2,No,No,No,No,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,No,No,No,NVIDIA
No,No,No,0,No,AMD,Yes,0,No,0,No,No,3328 megabytes,DDR3L SDRAM,No,4 hours,Shared,No,Windows 8.1,0,No,No,17.3 inches,6 gigabytes,No,0,Lithium-ion,No,No,No,No,No,750 gigabytes,Integrated,None,No,0,1,Yes,No,10/100Base-T,No,Yes,1,No,USB 3.0|USB 2.0|Ethernet|HDMI,No,0,No,0,No,No,BeatsAudio,No,0,0,Silver,No,No,2 megabytes,0,No,Wireless-B|Wireless-G|Wireless-N,AMD Radeon R5,No,Yes,No,DVD+R|DVD-R|DVD+RW|DVD-RW|CD-R|CD-RW,No,No,0,yes,No,No,0,No,Yes,No,No,No,No,No,Yes,0,No,No,Not Applicable,SATA,Touchscreen LED,No,No,No,No,"Foxit PhantomPDF; Evernote; CyberLink PowerDirector, CyberLink PhotoDirector and more",No,2 gigahertz,No,No,No,"4-cell lithium-ion battery (2800 mAh), AC adapter, software",3,No,0,2800 milliampere hours,0,AMD A8-Series,No,No,BeatsAudio,5400 revolutions per minute,No,1600 x 900 (HD+),No,0,AMD
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,5 hours,No,No,Windows 8.1,No,No,No,17.3 inches,8 gigabytes,No,No,Lithium-ion,No,No,Yes,No,No,1000 gigabytes,Discrete,No,No,No,1,Yes,No,100/1000 Mbps with RJ-45 connector,No,Yes,1,No,Ethernet|USB 3.0|USB 2.0|HDMI|Microphone|Headphone,No,No,No,No,No,No,Dolby Advanced Audio v2,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GTX 860M,No,Yes,No,DVD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Touchscreen LCD,No,No,No,No,"Dragon Assistant, VeriFace Pro, PowerDVD, Power2Go, Nitro Pro 9 and more",No,3.5 gigahertz,No,No,No,"Lithium-ion battery, software",3,No,No,No,No,Intel 4th Generation Core i5,No,No,JBL,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,No,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,No,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-ion,No,No,No,1,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,Intel HD,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Widescreen TFT-LCD,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
Yes,No,Yes,No,No,Intel,No,No,No,No,Gold,No,No,LPDDR3,No,No,No,No,No,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-polymer,No,No,No,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,Intel HD Graphics 6000,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Multi-touch,No,LED,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,No,0,No,Intel,Yes,No,No,No,No,No,3000 megabytes,DDR3L,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Discrete,None,No,No,1,Yes,No,10/100/1000 Mbps Fast Ethernet LAN (RJ-45 connector),No,No,1,No,Ethernet|HDMI|USB 3.0|VGA,No,No,No,No,No,No,ROG AudioWizard,No,No,No,Black,No,No,0 megabytes,No,No,Wireless-AC,NVIDIA GTX 970M,No,Yes,No,DVD-R DL|DVD+R DL|DVD+RW|DVD-RW|DVD+R|DVD-R|DVD-ROM|CD-RW|CD-R|CD-ROM,No,No,No,yes,No,No,No,No,No,No,32 gigabytes,No,No,No,Yes,No,No,No,Built-in,SATA,LED-LCD,No,No,No,No,None,No,2.5 gigahertz,No,No,No,No,4,No,No,No,1,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 7 Home Premium,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Black,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics Media Accelerator,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,LCD,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,3,No,0,No,0,Intel Pentium,No,No,No,No,No,No,No,No,Intel
