Shelf Type,Dual Evaporation,Depth Including Handles (in.),Water-Filtration-Replacement Indicator Light,Freezer Capacity,Ice Maker,Material,Height to Top of Door Hinge (in.),ENERGY STAR Qualified,Power Cord Included,Freezer Door Type,Thru-the-Door Water Dispenser,Sabbath Mode,Depth with Door 90&#176; Open (in.),Number Of Temperature Settings,Number Of Fixed Shelves,Number of Freezer Door Bins,Number of Doors,Humidity-Controlled Crisper,Dispensed Water Type,Interior Light(s),Spill-Safe Shelves,Surface Finish,Number Of Shelves,Freezer Compartment Width,Height to Top of Refrigerator (in.),Child Lock,See-Through Door,Door-Open Alarm,Water Filter Location,ETL Listed,Shelf Material,Lighting Type,Estimated Annual Electricity Use,Door-In-Door Capability,Maximum Temperature,Number of Refrigerator Door Bins,Number of Compressors,Automatic Defrost,Gallon Door Storage,pricematch,Factory-Installed Icemaker,Number of Evaporators,Depth Without Door,Water Dispenser,Digital Temperature Control,Total Capacity (cu. ft.),Amperage,Magnetic Doors,Freezer Compartment,Voltage,Number Of Adjustable Shelves,Bottle Capacity,CEE Qualified,Depth With Handle,Estimated Annual Operating Cost,Number Of Adjustable Freezer Shelves,ANSI Certified,Motion Activated Controls,Number of Temperature Controlled Zones,Number Of Doors,Refrigerator Capacity,Ice Tray Included,Number Of Fixed Freezer Shelves,Temperature Control Type,Color Category,Deli Meat Drawer,Wine Cooler Type,CSA Listed,Storage Capacity,Door-Handle Color,Capacity: Fresh-Food (cu. ft.),Refrigerator Shelf Construction,Height To Top Of Refrigerator,Refrigerator Shelf Material,Refrigerator Type,Cabinet Side Color,UL Listed,Number of Drawers,Depth With Door 90 Degrees Open,Door Lock,Water Filter Model Number,Side Cabinet Color,Wattage,Depth Without Handle,Dairy Center,In-Door Storage,Number of Refrigerator Shelves,Counter Depth,Door Handle Color,Number Of Units,Depth Without Handles (in.),LED Lighting,Frost-Free,Freezer Shelf Material,Thru-The-Door Dispenser,Minimum Temperature,CFC Free,Fresh Food Capacity,Cantilever Shelves,Height To Top Of Door Hinge,Thru-the-Door Ice Dispenser,ENERGY STAR Certified,Quick Freeze,Additional Accessories Included,Freezer Interior Light,Style,Capacity: Freezer (cu. ft.),Freezer Location,Estimated Yearly Operating Cost,Water Filtration,Adjustable Racks,ADA Compliant,Cooling Unit Type,Energy Consumption (kWh/year),Depth Less Door (in.),Ice Cube Style,Reversible Door Hinge,Water Dispenser Location,Estimated Yearly Electricity Use (kWh),Digital Display,NSF Listed,Crisper Drawer,Liner Material,Number of Freezer Shelves Baskets,Daily Ice Production,Dispenser Color,Door Swing,Smart Phone Compatible,Deodorizer,Wine Compatibility,Cord Length
N/A,N/A,N/A,N/A,7.14 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Other,646 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,33.625 inches,78 United States dollars,N/A,N/A,N/A,N/A,2,20.0 cubic feet,N/A,N/A,Electronic,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.5 inches,Glass,Side-by-Side,N/A,N/A,N/A,47.375 inches,No,N/A,N/A,N/A,31.25 inches,Yes,N/A,N/A,No,Silver,1,N/A,N/A,N/A,Wire,Crushed Ice|Cubed Ice,N/A,N/A,12.85 cubic feet,Yes,67.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.7 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,348 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,31.88 inches,42 United States dollars,N/A,N/A,N/A,N/A,2,16.3 cubic feet,N/A,1,Electronic,White,N/A,N/A,Yes,N/A,N/A,N/A,N/A,64.88 inches,Wire,Top Freezer,N/A,N/A,N/A,56 inches,No,N/A,N/A,N/A,29.88 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,12.6 cubic feet,No,65.13 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.9 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,1,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,25.75 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,2,N/A,N/A,31.625 inches,N/A,1,N/A,N/A,N/A,2,15.5 cubic feet,N/A,N/A,Analog,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.25 inches,Wire,Top Freezer,N/A,N/A,N/A,55.875 inches,No,N/A,N/A,N/A,29.5 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,Yes,N/A,Not Applicable,N/A,N/A,11.6 cubic feet,No,64.75 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,6.9 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,2,N/A,N/A,Yes,Water,N/A,Yes,Textured,N/A,N/A,N/A,Yes,N/A,No,Internal,N/A,N/A,LED,539 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,23.88 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,2,N/A,No,31 inches,57 United States dollars,N/A,N/A,N/A,N/A,3,22.6 cubic feet,Yes,N/A,Electronic,Silver,Yes,N/A,N/A,N/A,N/A,N/A,N/A,68.63 inches,Spill-proof glass,French Door,N/A,N/A,N/A,42.5 inches,No,PureSource Ultra,Silver,539 watts,28.5 inches,Yes,N/A,N/A,Yes,Silver,1,N/A,N/A,Yes,Glass,Water,N/A,N/A,15.7 cubic feet,Yes,69.88 inches,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,6 inches
N/A,N/A,N/A,N/A,3.9 cubic feet,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,Yes,N/A,N/A,N/A,Textured,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,344 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,25.75 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,29.5 inches,41 United States dollars,N/A,N/A,N/A,N/A,N/A,15.5 cubic feet,N/A,N/A,Analog,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.25 inches,Wire,Top Freezer,N/A,N/A,N/A,55.88 inches,No,N/A,N/A,N/A,29.5 inches,N/A,N/A,N/A,No,White,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,11.6 cubic feet,N/A,64.75 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.2 cubic feet,Yes,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Water,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Internal,N/A,N/A,LED,724 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,29.375 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,36.25 inches,87 United States dollars,N/A,N/A,N/A,N/A,3,27.7 cubic feet,N/A,N/A,Electronic,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Glass,French Door,N/A,Yes,N/A,48.375 inches,N/A,RPWFE,N/A,N/A,34.75 inches,No,N/A,N/A,No,White,N/A,N/A,N/A,N/A,N/A,Crushed Ice|Cubed Ice|Water,N/A,N/A,18.5 cubic feet,Yes,69.875 inches,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,yes,N/A,N/A,18 inches,N/A,N/A,N/A,1.7 amperes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1.77 cubic feet,N/A,N/A,Electronic,Blue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.5 inches,Wire,Compact,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,18 inches,No,N/A,N/A,No,N/A,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,No,34.65 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,8.4 cubic feet,Yes,N/A,N/A,N/A,N/A,Swing Door,N/A,No,N/A,N/A,3,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,No,N/A,No,N/A,No,N/A,Other,549 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,48 inches,N/A,N/A,N/A,8.5 amperes,N/A,Yes,120 volts,1,N/A,No,34.5 inches,58 United States dollars,N/A,N/A,N/A,N/A,2,22.6 cubic feet,N/A,4,Electronic,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.63 inches,Spill-proof glass,Side-by-Side,N/A,No,N/A,48 inches,N/A,N/A,White,1.02 watts,32 inches,Yes,N/A,N/A,No,White,1,N/A,N/A,N/A,Wire,Water,N/A,N/A,14.2 cubic feet,N/A,69.63 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,Top,N/A,Yes,N/A,No,N/A,N/A,N/A,Cubed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,N/A,N/A,N/A,N/A,N/A
N/A,Yes,N/A,N/A,7.2 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Textured,N/A,N/A,N/A,N/A,N/A,Yes,Internal,N/A,N/A,LED,664 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,24.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,4,N/A,N/A,31.25 inches,80 United States dollars,N/A,N/A,N/A,N/A,3,22.1 cubic feet,N/A,N/A,Touch,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Spill-proof glass|Glass,French Door,N/A,N/A,N/A,43.375 inches,No,RPWFE,N/A,N/A,30.25 inches,Yes,N/A,N/A,Yes,Silver,1,N/A,N/A,N/A,N/A,Crushed Ice|Cubed Ice|Water,N/A,N/A,14.9 cubic feet,Yes,69.875 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
