Number Of Speakers,Video Input(s),Maximum Contrast Ratio (Dynamic),Language Options,Headphone Jack,Video Output(s),Surround Sound Supported,RF Antenna Input,Smart Capable,USB Port,Media Card Slot,3D-Ready,PC Input,Viewing Modes,Sound Leveler,Mount Type,DVD Player Included,Product Height (without stand),S-Video Inputs,USB Input,Instant Content Supported,Maximum Resolution,Screen Size,On-Screen Display Languages,Product Depth (with stand),Video Outputs,Sleep Timer,3D Technology,Battery Type,DVI Inputs,Number Of Composite Video Inputs,Brightness,Digital Tuner,Power Consumption (watts) Power On,Product Depth Without Stand,Closed Captioning,Digital Comb Filter,Product Weight With Stand,Specific Manufacturer Technologies,Battery Size,Product Height With Stand,Product Height Without Stand,Composite Inputs,Product Depth With Stand,Power Consumption (watts) Stand-by,Estimated Yearly Electricity Use (kWh),Instant Content,VESA Wall Mount Standard,TV/DVD Combo,Minimum Contrast Ratio (Dynamic),Estimated Annual Operating Cost,Component Video Inputs,Horizontal Viewing Angle,Product Weight Without Stand,Number Of HDMI Inputs,Alarm Timer,Number Of HDMI Outputs,Screen Refresh Rate,Batteries Included,TV Type,Screen Size (Measured Diagonally),Secure Digital Memory Card Slot,Speakers,Resolution (Native),Vertical Resolution,Anti-Glare Screen Coating,V-Chip,Refresh Rate,Watts/Channel,PC Inputs,Curved Screen,Resolution,DLNA Certified,Media Card Compatibility,Dynamic Contrast Ratio,Local Dimming,Estimated Annual Electricity Use,Built-In Player,Cable(s) Included,Speaker Output,Input(s),HDMI Inputs,Number Of Analog Audio Outputs,Number Of USB Port(s),Network Compatibility,Maximum Contrast Ratio (Native),A/V Outputs,Color Category,ENERGY STAR Certified,Number Of Auxiliary Inputs,Display Type,Aspect Ratio,Speaker Output Power,Indoor Or Outdoor Use,Audio Outputs,Widescreen,Language(s) Displayed,DND Omega Publish,Simulated Surround,EPEAT Qualified,Mount Bracket/VESA Pattern,Remote Control Type,Estimated Yearly Operating Cost,Volume Leveler,pricematch,Ethernet Port,DLNA,Screen Size Class,EPEAT Level,Product Depth (without stand),Number Of DVI Inputs,Wall Mountable,Headphone Jacks,Number Of Digital Optical Audio Outputs,Product Height (with stand),Weather Resistant,Channel Labeling,Number Of Component Video Inputs,Speaker Location,Integrated Camera,Vertical Viewing Angle
2,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook|Hulu Plus|Netflix|Pandora|YouTube,1080 x 1920,54.64 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,2.12 inches,N/A,N/A,N/A,N/A,N/A,30.18 inches,27.91 inches,N/A,9.76 inches,N/A,N/A,N/A,N/A,No,N/A,14 United States dollars,N/A,N/A,38.6 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,240Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,129.3 kilowatt hours,N/A,N/A,30 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Smart,N/A,N/A,N/A,N/A,N/A,55 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter|Facebook|HBO GO|Hulu Plus|Netflix|Pandora|Skype|YouTube,3840 x 2160,54.63 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,Yes,N/A,3.75 inches,N/A,N/A,N/A,N/A,N/A,30.25 inches,28.5 inches,N/A,12.13 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,28 United States dollars,N/A,N/A,44.5 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,255 kilowatt hours,N/A,USB,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Silver,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,55 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,Component video,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook,3840 x 2160,54.63 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,2 inches,N/A,N/A,43.7 pounds,N/A,N/A,30 inches,28.38 inches,N/A,10.88 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,17 United States dollars,N/A,N/A,37 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,60Hz,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,153 kilowatt hours,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Smart Touch,N/A,N/A,yes,N/A,N/A,55 inches,N/A,N/A,0,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Netflix|Pandora|VUDU|YouTube,1080 x 1920,49.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,N/A,N/A,3.75 inches,N/A,N/A,40.3 pounds,N/A,N/A,28.5 inches,26.5 inches,N/A,9.88 inches,N/A,N/A,N/A,400mm x 400mm,No,N/A,10 United States dollars,N/A,N/A,34.6 pounds,2,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,88 kilowatt hours,N/A,N/A,2 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,English|French|Spanish,N/A,N/A,Yes,N/A,Universal,N/A,N/A,yes,N/A,N/A,50 inches,Gold,N/A,0,Yes,N/A,2,N/A,N/A,Yes,1,N/A,N/A,N/A
N/A,N/A,N/A,"English, French, Spanish",N/A,N/A,N/A,N/A,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"35-9/10""",N/A,Yes,N/A,3840 x 2160,N/A,N/A,"11-3/8""",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,523,"Netflix, Pandora, Facebook, YouTube, Hulu Plus, Twitter",N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,240Hz,N/A,LED,"69-1/2""",N/A,N/A,N/A,2160p (4K),N/A,Yes,N/A,N/A,0,N/A,N/A,N/A,N/A,"50,000,000:1",N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,16:9,20W,N/A,N/A,N/A,N/A,Yes,N/A,No,400mm x 400mm,QWERTY,$58,N/A,yes,Yes,Yes,"70""",N/A,"2-5/8""",N/A,N/A,N/A,N/A,"37-3/4""",N/A,N/A,N/A,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,55 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,700 candela per square meter,N/A,N/A,7.8 inches,N/A,N/A,115 pounds,N/A,N/A,31.44 inches,33.5 inches,N/A,7.88 inches,N/A,N/A,N/A,600mm x 200mm,No,N/A,13 United States dollars,N/A,N/A,115 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,122 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,0,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,55 inches,N/A,N/A,0,Yes,N/A,2,N/A,N/A,Yes,2,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1366 x 768,29 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,N/A,N/A,3.25 inches,N/A,N/A,5.7 pounds,N/A,N/A,18 inches,16.25 inches,N/A,7.25 inches,N/A,N/A,N/A,100mm x 100mm,No,N/A,7 United States dollars,N/A,N/A,5.4 pounds,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,64 kilowatt hours,N/A,USB,10 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,29 inches,N/A,N/A,0,Yes,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hulu Plus|M-GO|Netflix|YouTube,3840 x 2160 (4K),64.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,2.5 inches,N/A,N/A,76.7 pounds,N/A,N/A,36 inches,33.88 inches,N/A,11.88 inches,N/A,N/A,N/A,400mm x 400mm,No,N/A,17 United States dollars,N/A,N/A,74.3 pounds,3,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,240Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,157 kilowatt hours,N/A,SMART,35 watts,N/A,N/A,1,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Standard,N/A,N/A,yes,N/A,N/A,65 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"28-5/8""",N/A,Yes,N/A,3840 x 2160,N/A,N/A,"10-1/4""",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,171,"Netflix, YouTube, Hulu Plus",N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,120Hz,N/A,LED,"54-5/8""",N/A,2,N/A,2160p (4K),N/A,Yes,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,20W,N/A,1,N/A,N/A,Yes,N/A,No,400mm x 400mm,N/A,$19,N/A,yes,Yes,N/A,"55""",N/A,"1-1/2""",N/A,N/A,N/A,N/A,"30-1/4""",N/A,N/A,N/A,N/A,N/A,N/A
2,Component video|Composite video|DVI|HDMI,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,64.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,N/A,N/A,3.5 inches,N/A,N/A,67.2 pounds,N/A,N/A,37 inches,34.63 inches,N/A,12.63 inches,N/A,N/A,N/A,400mm x 400mm,No,1,39 United States dollars,N/A,N/A,56.2 pounds,3,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,354 kilowatt hours,N/A,N/A,16 watts,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,English|French|Spanish,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,65 inches,N/A,N/A,1,Yes,N/A,2,N/A,N/A,Yes,1,N/A,N/A,N/A
