Dryer Capacity,Depth with Door Open (in.),Dryer Depth With Door Open,Wattage,Pre-Wash Detergent Dispenser,Bleach Dispenser,High Efficiency,Height With Door Open,Air Fluff,Door Opening Size,Power Source,Soak Cycle,Stackable,Compact Design,Fill/Drain Hoses Included,Depth With Door Open,Extended Tumble Cycle,Finger Faucet,Allergy Cycle,Time-Remaining Display,Wrinkle-Free Cycle,Cycle Descriptions,Voltage,Stacking Kit Model Number (sold separately),Steam Function,Auto Dry Cycle,Damp Dry,Washer Interior Light,ENERGY STAR Certified,Wheels/Casters,Temperature Options,Color Category,Pre-Wash Dispenser,High-Efficiency Design,Quiet Dry Cycle,Noise Reduction,CSA Listed,Extra-Dry Cycle,Maximum Spin Speed,Delayed Start,Delicates Cycle,Washer Tub/Drum Material,Heavy-Duty Cycle,Sanitation/Allergy Cycle,Washer Load Type,Delay Start,Integrated Water Heater,Cool-Down Cycle,Capacity (cu. ft.),Washer Capacity,ETL Listed,Drying Rack,Tub/Drum Material,Reversible Door Hinge,Number Of Wash Temperatures,Dryer Drum Material,End-Of-Cycle Signal,Hand-Wash Cycle,Quick Wash Cycle,Number Of Drying Cycles,Load Access,Fabric Softner Dispenser,Steam,Exhaust Vent Location,Internal Water Heater,Smart_Phone_Compatible,Number Of Units,Agitator Type,Matching Dryer Available,Number Of Drying Temperatures,Pedestal Model Number (sold separately),Washer Window,Pedestal Available,Pedestal Model Compatibility,Drum and Interior Finish,NSF Listed,Window,Number Of Wash Speeds,ANSI Certified,Second Rinse,Dryer Interior Light,CEE Qualified,Delicate Cycle,Number Of Rinse Temperatures,Permanent Press Cycle,Number of Wash Cycles,Hand-Washable Cycle,Height To Control Panel Top,Estimated Annual Operating Cost,Fabric Softener Dispenser,Out-Of-Balance Detection,Matching Dryer Model Number,Self-Cleaning Filter,Washer/Dryer Combo Type,Height with Lid Open (in.),Control Location,Estimated Yearly Electricity Use (kWh),Capacity,Estimated Yearly Operating Cost,Amperage,Number Of Wash Cycles,Extra-Rinse Cycle,Child Lock,Sensor Dry,Sanitation Cycle,Power Cord Included,Vibration Reduction,Knits Cycle,Additional Accessories Included,Pre-Wash Cycle,Cotton Cycle,pricematch,Interior Light(s),Quick-Wash Cycle,Automatic Temperature Control,Lint Filter,Smart Phone Compatible,UL Listed,Dryer Window,Water Efficiency,Door Style,Number Of Rinse Cycles,Wool Cycle,Control Type,Number Of Temperature Settings,Estimated Annual Electricity Use,ADA Compliant
N/A,N/A,N/A,N/A,Yes,Yes,N/A,55.13 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,16 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0 cubic feet,N/A,N/A,12,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,Yes,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,N/A,135 kilowatt hours,N/A
N/A,N/A,N/A,N/A,N/A,Yes,N/A,51 inches,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120 volts,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,N/A,N/A,N/A,700 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,6,Yes,N/A,Yes,N/A,18 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0 cubic feet,N/A,10 amperes,16,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,yes,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Electronic,6,166 kilowatt hours,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,57 inches,N/A,N/A,N/A,Yes,No,No,Yes,N/A,N/A,No,No,Yes,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,No,N/A,White,N/A,Yes,N/A,Yes,No,N/A,850 revolutions per minute,N/A,Yes,N/A,No,N/A,Top load,N/A,N/A,N/A,N/A,N/A,No,N/A,Stainless steel,N/A,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,No,Yes,2,No,Yes,N/A,No,N/A,1,No,N/A,No,42.25 inches,12 United States dollars,Yes,Yes,WED8000DW (electric) or WGD8000DW (gas),N/A,N/A,N/A,N/A,N/A,5.3 cubic feet,N/A,20 amperes,N/A,Yes,No,N/A,No,No,Yes,No,N/A,Yes,No,yes,No,Yes,No,N/A,No,Yes,N/A,N/A,N/A,1,No,Electronic,5,196 kilowatt hours,No
N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Electric,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"Active wear, allergen, bulky/sheets, casual, clean washer, cold wash, deep water soak, delicates, heavy-duty, normal, quick-wash, rinse/drain & spin, sanitary/steam, sheets, towels, whites",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Gray,No,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8 D.O.E.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Top-load,Yes,Yes,N/A,N/A,N/A,N/A,No agitator,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,Yes,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rear panel,150,N/A,$16 with an electric water heater; $10 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Electronic,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Electric,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Bulky Items, Casual, Clean Washer with affresh, Delicate, Drain & Spin, Heavy Duty, Normal, Quick Wash, Rinse & Spin, Sheets, Whites",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,White,No,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5 D.O.E.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Top-load,Yes,No,N/A,N/A,N/A,N/A,No agitator,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Rear panel,143,N/A,$15 with an electric water heater; $10 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Digital,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,Electric,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Permanent press, prewash, stain wash, drain and spin, quick rinse, heavy, medium, light, delicates, towels, sheets, jeans, hand wash, whites, colors",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,White,No,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.9 D.O.E.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Top-load,Yes,N/A,N/A,N/A,N/A,N/A,Double-action,N/A,N/A,N/A,N/A,N/A,N/A,Stainless-steel,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,N/A,208,N/A,$22 with an electric water heater; $15 with a natural gas water heater,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Analog,N/A,N/A,N/A
N/A,N/A,N/A,N/A,No,Yes,N/A,55.13 inches,N/A,N/A,N/A,Yes,No,Yes,Yes,N/A,N/A,N/A,No,Yes,N/A,N/A,120 volts,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,Gray,N/A,Yes,N/A,Yes,Yes,N/A,1100 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Top load,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Stainless steel,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,None,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,N/A,No,N/A,9 United States dollars,Yes,Yes,DLGY1702V,N/A,N/A,N/A,N/A,N/A,4.9 cubic feet,N/A,10 amperes,12,Yes,Yes,N/A,Yes,Yes,Yes,N/A,N/A,No,Yes,yes,N/A,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,Yes,Digital,5,113 kilowatt hours,No
N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,53.5 inches,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,White,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6 cubic feet,N/A,N/A,9,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,No,yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,N/A,N/A,N/A
N/A,N/A,N/A,120 watts,Yes,Yes,N/A,N/A,N/A,50.6 inches,N/A,N/A,Yes,No,No,50.63 inches,N/A,N/A,Yes,Yes,N/A,N/A,120 volts,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,White,N/A,Yes,N/A,Yes,N/A,N/A,1200 revolutions per minute,N/A,Yes,N/A,Yes,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,Yes,5,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,5,N/A,Yes,N/A,Yes,N/A,N/A,Yes,N/A,Yes,N/A,25 United States dollars,Yes,Yes,Eifls55iiw,N/A,N/A,N/A,N/A,N/A,4.2 cubic feet,N/A,12 amperes,11,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,Yes,N/A,yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,5,238 kilowatt hours,N/A
N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,51 inches,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Gray,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Front load,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,12 United States dollars,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.3 cubic feet,N/A,N/A,9,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,Yes,yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,5,100 kilowatt hours,N/A
